ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,11,2.462,22,-88
28-1,00:0C:42:67:89:CC,11,2.462,30,-80
18-1,00:0C:42:65:C6:AD,11,2.462,43,-67
29-1,00:0C:42:67:89:B6,11,2.462,22,-88
17-1,00:0C:42:65:C6:AB,11,2.462,24,-86
30-1,00:0C:42:65:C4:4F,11,2.462,29,-81
qurinet,22:22:22:22:22:22,1,2.412,30,-80
19-0,00:0C:42:6C:39:37,1,2.412,30,-80
28-0,00:0C:42:6C:3D:49,1,2.412,31,-79
30-0,00:0C:42:6C:3D:25,1,2.412,30,-80
18-0,00:0C:42:6C:3D:41,1,2.412,37,-73
17-0,00:0C:42:6C:3D:2F,1,2.412,36,-74
