ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,11,2.462,27,-83
31-1,00:0C:42:6C:37:C4,11,2.462,26,-84
32-1,00:0C:42:6C:39:45,11,2.462,28,-82
1-1,00:0C:42:6C:3D:68,11,2.462,35,-75
4wH-ValleyInternet.com,00:25:86:F2:14:C0,11,2.462,21,-89
30-1,00:0C:42:65:C4:4F,11,2.462,22,-88
252-1,00:0C:42:65:C6:73,11,2.462,22,-88
qurinet,22:22:22:22:22:22,1,2.412,37,-73
21-0,00:0C:42:6C:40:77,1,2.412,43,-67
10-0,00:0C:42:6C:3D:42,1,2.412,35,-75
32-0,00:0C:42:6C:39:3D,1,2.412,43,-67
qurinet,22:22:22:22:22:22,6,2.437,27,-83
248-0,00:0C:42:6C:3D:39,6,2.437,26,-84
