ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,33,-77
qurinet,22:22:22:22:22:22,6,2.437,33,-77
32-1,00:0C:42:6C:39:45,11,2.462,40,-70
21-0,00:0C:42:6C:40:77,1,2.412,27,-83
17-0,00:0C:42:6C:3D:2F,1,2.412,28,-82
10-0,00:0C:42:6C:3D:42,1,2.412,25,-85
31-0,00:0C:42:6C:37:AB,1,2.412,30,-80
3-0,00:0C:42:6C:3D:C2,1,2.412,23,-87
2-0,00:0C:42:67:89:2C,1,2.412,25,-85
qurinet,22:22:22:22:22:22,1,2.412,24,-86
1-0,00:0C:42:6C:40:76,1,2.412,37,-73
38-0,00:0C:42:67:89:A8,1,2.412,25,-85
qurinet,22:22:22:22:22:22,11,2.462,22,-88
1-1,00:0C:42:6C:3D:68,11,2.462,37,-73
10-1,00:0C:42:67:89:9C,11,2.462,35,-75
33-1,00:0C:42:67:89:1E,11,2.462,19,-91
