ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
31-1,00:0C:42:6C:37:C4,11,2.462,21,-89
qurinet,22:22:22:22:22:22,11,2.462,24,-86
2-1,00:0C:42:67:89:99,11,2.462,38,-72
30-1,00:0C:42:65:C4:4F,11,2.462,21,-89
qurinet,22:22:22:22:22:22,1,2.412,26,-84
2-0,00:0C:42:67:89:2C,1,2.412,35,-75
4-1,00:0C:42:6C:3D:36,11,2.462,45,-65
6-1,00:0C:42:6C:3D:3E,11,2.462,25,-85
29-0,00:0C:42:6C:40:84,1,2.412,22,-88
6-0,00:0C:42:6C:40:7B,1,2.412,29,-81
1-0,00:0C:42:6C:40:76,1,2.412,24,-86
10-0,00:0C:42:6C:3D:42,1,2.412,21,-89
