ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
1-1,00:0C:42:6C:3D:68,11,2.462,28,-82
10-0,00:0C:42:6C:3D:42,1,2.412,23,-87
3-0,00:0C:42:6C:3D:C2,1,2.412,36,-74
qurinet,22:22:22:22:22:22,1,2.412,38,-72
29-0,00:0C:42:6C:40:84,1,2.412,23,-87
6-0,00:0C:42:6C:40:7B,1,2.412,25,-85
17-0,00:0C:42:6C:3D:2F,1,2.412,22,-88
32-0,00:0C:42:6C:39:3D,1,2.412,23,-87
31-0,00:0C:42:6C:37:AB,1,2.412,22,-88
30-0,00:0C:42:6C:3D:25,1,2.412,23,-87
1-0,00:0C:42:6C:40:76,1,2.412,21,-89
34-0,00:0C:42:6C:37:C6,1,2.412,24,-86
qurinet,22:22:22:22:22:22,11,2.462,24,-86
30-1,00:0C:42:65:C4:4F,11,2.462,26,-84
