ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
6-0,00:0C:42:6C:40:7B,1,2.412,32,-78
qurinet,22:22:22:22:22:22,1,2.412,33,-77
30-1,00:0C:42:65:C4:4F,11,2.462,22,-88
A7d-ValleyInternet.com,00:25:86:F2:DC:D6,11,2.462,21,-89
Farrell,94:0C:6D:EE:E4:62,11,2.462,24,-86
qurinet,22:22:22:22:22:22,11,2.462,26,-84
29-1,00:0C:42:67:89:B6,11,2.462,29,-81
2-1,00:0C:42:67:89:99,11,2.462,27,-83
31-1,00:0C:42:6C:37:C4,11,2.462,24,-86
252-1,00:0C:42:65:C6:73,11,2.462,24,-86
1-1,00:0C:42:6C:3D:68,11,2.462,25,-85
4-1,00:0C:42:6C:3D:36,11,2.462,23,-87
32-0,00:0C:42:6C:39:3D,1,2.412,27,-83
252-0,00:0C:42:6C:3A:3D,1,2.412,30,-80
