ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,6,2.437,60,-50
1-0,00:0C:42:6C:40:76,1,2.412,66,-44
2-0,00:0C:42:67:89:2C,1,2.412,42,-68
qurinet,22:22:22:22:22:22,1,2.412,64,-46
34-0,00:0C:42:6C:37:C6,1,2.412,31,-79
248-0,00:0C:42:6C:3D:39,6,2.437,61,-49
4-1,00:0C:42:6C:3D:36,11,2.462,22,-88
32-1,00:0C:42:6C:39:45,11,2.462,23,-87
32-0,00:0C:42:6C:39:3D,1,2.412,41,-69
6-1,00:0C:42:6C:3D:3E,11,2.462,26,-84
31-1,00:0C:42:6C:37:C4,11,2.462,24,-86
3-1,00:0C:42:6C:3D:2D,11,2.462,24,-86
13-1,00:0C:42:67:89:9A,11,2.462,34,-76
qurinet,22:22:22:22:22:22,11,2.462,26,-84
