ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,29,-81
13-0,00:0C:42:6C:3D:C3,1,2.412,25,-85
19-0,00:0C:42:6C:39:37,1,2.412,22,-88
31-0,00:0C:42:6C:37:AB,1,2.412,25,-85
32-0,00:0C:42:6C:39:3D,1,2.412,27,-83
29-0,00:0C:42:6C:40:84,1,2.412,26,-84
17-0,00:0C:42:6C:3D:2F,1,2.412,29,-81
1-0,00:0C:42:6C:40:76,1,2.412,24,-86
252-0,00:0C:42:6C:3A:3D,1,2.412,27,-83
30-0,00:0C:42:6C:3D:25,1,2.412,29,-81
2-0,00:0C:42:67:89:2C,1,2.412,24,-86
qurinet,22:22:22:22:22:22,11,2.462,35,-75
30-1,00:0C:42:65:C4:4F,11,2.462,36,-74
6-0,00:0C:42:6C:40:7B,1,2.412,26,-84
31-1,00:0C:42:6C:37:C4,11,2.462,29,-81
10-1,00:0C:42:67:89:9C,11,2.462,35,-75
1-1,00:0C:42:6C:3D:68,11,2.462,25,-85
29-1,00:0C:42:67:89:B6,11,2.462,33,-77
19-1,00:0C:42:6C:39:42,11,2.462,28,-82
6-1,00:0C:42:6C:3D:3E,11,2.462,24,-86
