ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
248-0,00:0C:42:6C:3D:39,6,2.437,65,-45
1-1,00:0C:42:6C:3D:68,11,2.462,59,-51
qurinet,22:22:22:22:22:22,11,2.462,60,-50
2-0,00:0C:42:67:89:2C,1,2.412,54,-56
34-0,00:0C:42:6C:37:C6,1,2.412,32,-78
qurinet,22:22:22:22:22:22,1,2.412,52,-58
6-0,00:0C:42:6C:40:7B,1,2.412,24,-86
13-0,00:0C:42:6C:3D:C3,1,2.412,24,-86
252-0,00:0C:42:6C:3A:3D,1,2.412,34,-76
32-0,00:0C:42:6C:39:3D,1,2.412,37,-73
qurinet,22:22:22:22:22:22,6,2.437,65,-45
29-0,00:0C:42:6C:40:84,1,2.412,30,-80
34-1,00:0C:42:6C:39:49,11,2.462,24,-86
252-1,00:0C:42:65:C6:73,11,2.462,22,-88
29-1,00:0C:42:67:89:B6,11,2.462,24,-86
