ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,28,-82
28-0,00:0C:42:6C:3D:49,1,2.412,33,-77
18-0,00:0C:42:6C:3D:41,1,2.412,30,-80
17-0,00:0C:42:6C:3D:2F,1,2.412,30,-80
30-0,00:0C:42:6C:3D:25,1,2.412,29,-81
19-1,00:0C:42:6C:39:42,11,2.462,70,-35
qurinet,22:22:22:22:22:22,11,2.462,27,-83
18-1,00:0C:42:65:C6:AD,11,2.462,41,-69
28-1,00:0C:42:67:89:CC,11,2.462,30,-80
30-1,00:0C:42:65:C4:4F,11,2.462,28,-82
10-0,00:0C:42:6C:3D:42,1,2.412,22,-88
29-0,00:0C:42:6C:40:84,1,2.412,23,-87
