ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
22-1,00:0C:42:6C:36:B1,11,2.462,35,-75
3-0,00:0C:42:6C:3D:C2,1,2.412,34,-76
1-1,00:0C:42:6C:3D:68,11,2.462,23,-87
23-1,00:0C:42:67:93:E7,11,2.462,40,-70
23-0,00:0C:42:6C:40:75,1,2.412,37,-73
13-0,00:0C:42:6C:3D:C3,1,2.412,42,-68
