ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
21-1,00:0C:42:67:89:9D,11,2.462,24,-86
30-1,00:0C:42:65:C4:4F,11,2.462,21,-89
20-1,00:0C:42:65:C6:AC,11,2.462,52,-58
20-0,00:0C:42:6C:3D:5E,1,2.412,42,-68
32-0,00:0C:42:6C:39:3D,1,2.412,24,-86
12-0,00:0C:42:6B:96:D5,1,2.412,59,-51
