ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
25-1,00:0C:42:6C:3A:59,11,2.462,25,-85
26-1,00:0C:42:6C:39:40,11,2.462,21,-89
29-1,00:0C:42:67:89:B6,11,2.462,25,-85
17-1,00:0C:42:65:C6:AB,11,2.462,31,-79
6-1,00:0C:42:6C:3D:3E,11,2.462,32,-78
15-1,00:0C:42:6C:39:25,11,2.462,19,-91
9-1,00:0C:42:67:89:C8,11,2.462,19,-91
16-0,00:0C:42:6C:39:3C,1,2.412,32,-78
2-1,00:0C:42:67:89:99,11,2.462,21,-89
17-0,00:0C:42:6C:3D:2F,1,2.412,31,-79
25-0,00:0C:42:6C:35:7B,1,2.412,30,-80
6-0,00:0C:42:6C:40:7B,1,2.412,31,-79
29-0,00:0C:42:6C:40:84,1,2.412,21,-89
9-0,00:0C:42:6C:3D:37,1,2.412,22,-88
