ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
19-1,00:0C:42:6C:39:42,11,2.462,32,-78
6-1,00:0C:42:6C:3D:3E,11,2.462,22,-88
28-1,00:0C:42:67:89:CC,11,2.462,23,-87
18-1,00:0C:42:65:C6:AD,11,2.462,23,-87
29-1,00:0C:42:67:89:B6,11,2.462,30,-80
17-1,00:0C:42:65:C6:AB,11,2.462,21,-89
21-1,00:0C:42:67:89:9D,11,2.462,22,-88
34-1,00:0C:42:6C:39:49,11,2.462,21,-89
2-1,00:0C:42:67:89:99,11,2.462,21,-89
252-1,00:0C:42:65:C6:73,11,2.462,23,-87
30-0,00:0C:42:6C:3D:25,1,2.412,29,-81
20-1,00:0C:42:65:C6:AC,11,2.462,24,-86
23-1,00:0C:42:67:93:E7,11,2.462,19,-91
19-0,00:0C:42:6C:39:37,1,2.412,33,-77
252-0,00:0C:42:6C:3A:3D,1,2.412,30,-80
29-0,00:0C:42:6C:40:84,1,2.412,26,-84
