ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
35-1,00:0C:42:67:89:96,11,2.462,68,-42
32-0,00:0C:42:6C:39:3D,1,2.412,26,-84
1-0,00:0C:42:6C:40:76,1,2.412,29,-81
248-0,00:0C:42:6C:3D:39,6,2.437,49,-61
1-1,00:0C:42:6C:3D:68,11,2.462,44,-66
