ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
248-0,00:0C:42:6C:3D:39,6,2.437,61,-49
17-0,00:0C:42:6C:3D:2F,1,2.412,32,-78
1-1,00:0C:42:6C:3D:68,11,2.462,57,-53
17-1,00:0C:42:65:C6:AB,11,2.462,23,-87
21-1,00:0C:42:67:89:9D,11,2.462,40,-70
29-1,00:0C:42:67:89:B6,11,2.462,22,-88
34-1,00:0C:42:6C:39:49,11,2.462,21,-89
4-1,00:0C:42:6C:3D:36,11,2.462,20,-90
13-1,00:0C:42:67:89:9A,11,2.462,22,-88
20-1,00:0C:42:65:C6:AC,11,2.462,27,-83
1-0,00:0C:42:6C:40:76,1,2.412,52,-58
29-0,00:0C:42:6C:40:84,1,2.412,26,-84
35-0,00:0C:42:6C:3D:3D,6,2.437,28,-82
