ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
16-1,00:0C:42:6C:37:8B,11,2.462,21,-89
28-1,00:0C:42:67:89:CC,11,2.462,37,-73
17-1,00:0C:42:65:C6:AB,11,2.462,36,-74
17-0,00:0C:42:6C:3D:2F,1,2.412,35,-75
15-0,00:0C:42:6C:39:2C,1,2.412,44,-66
28-0,00:0C:42:6C:3D:49,1,2.412,40,-70
