ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
248-0,00:0C:42:6C:3D:39,6,2.437,64,-46
248-1,00:0C:42:65:C4:6C,11,2.462,61,-49
11-0,00:0C:42:6B:97:C1,1,2.412,32,-78
6-0,00:0C:42:6C:40:7B,1,2.412,24,-86
3-0,00:0C:42:6C:3D:C2,1,2.412,25,-85
32-0,00:0C:42:6C:39:3D,1,2.412,33,-77
2-0,00:0C:42:67:89:2C,1,2.412,37,-73
29-0,00:0C:42:6C:40:84,1,2.412,31,-79
20-0,00:0C:42:6C:3D:5E,1,2.412,22,-88
8-0,00:0C:42:6C:40:83,1,2.412,29,-81
34-0,00:0C:42:6C:37:C6,1,2.412,35,-75
17-0,00:0C:42:6C:3D:2F,1,2.412,24,-86
13-0,00:0C:42:6C:3D:C3,1,2.412,23,-87
16-0,00:0C:42:6C:39:3C,1,2.412,35,-75
2-1,00:0C:42:67:89:99,11,2.462,31,-79
1-1,00:0C:42:6C:3D:68,11,2.462,55,-55
4-1,00:0C:42:6C:3D:36,11,2.462,32,-78
23-1,00:0C:42:67:93:E7,11,2.462,27,-83
16-1,00:0C:42:6C:37:8B,11,2.462,35,-75
29-1,00:0C:42:67:89:B6,11,2.462,27,-83
4-1,00:0C:42:6C:3D:36,11,2.462,35,-75
13-1,00:0C:42:67:89:9A,11,2.462,27,-83
