ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
32-0,00:0C:42:6C:39:3D,1,2.412,25,-85
1-0,00:0C:42:6C:40:76,1,2.412,54,-56
12-0,00:0C:42:6B:96:D5,1,2.412,30,-80
29-0,00:0C:42:6C:40:84,1,2.412,22,-88
17-0,00:0C:42:6C:3D:2F,1,2.412,20,-90
30-0,00:0C:42:6C:3D:25,1,2.412,21,-89
16-0,00:0C:42:6C:39:3C,1,2.412,18,-92
1-1,00:0C:42:6C:3D:68,11,2.462,36,-74
248-1,00:0C:42:65:C4:6C,11,2.462,32,-78
252-0,00:0C:42:6C:3A:3D,1,2.412,31,-79
252-1,00:0C:42:65:C6:73,11,2.462,41,-69
31-1,00:0C:42:6C:37:C4,11,2.462,19,-91
248-0,00:0C:42:6C:3D:39,6,2.437,18,-92
30-1,00:0C:42:65:C4:4F,11,2.462,24,-86
