ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
22-0,00:0C:42:6C:39:46,1,2.412,58,-52
20-0,00:0C:42:6C:3D:5E,11,2.462,23,-87
21-1,00:0C:42:67:89:9D,11,2.462,43,-67
20-0,00:0C:42:6C:3D:5E,11,2.462,23,-87
23-1,00:0C:42:67:93:E7,11,2.462,22,-88
20-0,00:0C:42:6C:3D:5E,11,2.462,23,-87
30-1,00:0C:42:65:C4:4F,11,2.462,23,-87
20-0,00:0C:42:6C:3D:5E,11,2.462,23,-87
20-0,00:0C:42:6C:3D:5E,11,2.462,25,-85
20-0,00:0C:42:6C:3D:5E,11,2.462,24,-86
30-1,00:0C:42:65:C4:4F,11,2.462,20,-90
20-0,00:0C:42:6C:3D:5E,11,2.462,23,-87
20-0,00:0C:42:6C:3D:5E,11,2.462,23,-87
20-0,00:0C:42:6C:3D:5E,11,2.462,21,-89
24-1,00:0C:42:67:89:B9,11,2.462,23,-87
20-0,00:0C:42:6C:3D:5E,11,2.462,21,-89
20-0,00:0C:42:6C:3D:5E,11,2.462,20,-90
30-1,00:0C:42:65:C4:4F,11,2.462,20,-90
30-1,00:0C:42:65:C4:4F,11,2.462,21,-89
24-1,00:0C:42:67:89:B9,11,2.462,21,-89
30-1,00:0C:42:65:C4:4F,11,2.462,20,-90
20-1,00:0C:42:65:C6:AC,11,2.462,21,-89
3-1,00:0C:42:6C:3D:2D,11,2.462,34,-76
