ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
38-0,00:0C:42:67:89:A8,1,2.412,34,-76
32-1,00:0C:42:6C:39:45,11,2.462,38,-72
38-1,00:0C:42:65:C6:AE,11,2.462,50,-60
32-0,00:0C:42:6C:39:3D,1,2.412,33,-77
33-0,00:0C:42:6C:3D:EE,1,2.412,46,-64
