ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
20-0,00:0C:42:6C:3D:5E,1,2.412,26,-84
2-0,00:0C:42:67:89:2C,1,2.412,27,-83
1-0,00:0C:42:6C:40:76,1,2.412,35,-75
38-0,00:0C:42:67:89:A8,1,2.412,25,-85
23-0,00:0C:42:6C:40:75,1,2.412,23,-87
3-0,00:0C:42:6C:3D:C2,1,2.412,24,-86
30-0,00:0C:42:6C:3D:25,1,2.412,22,-88
29-0,00:0C:42:6C:40:84,1,2.412,22,-88
17-0,00:0C:42:6C:3D:2F,1,2.412,24,-86
21-0,00:0C:42:6C:40:77,1,2.412,31,-79
11-0,00:0C:42:6B:97:C1,1,2.412,24,-86
32-1,00:0C:42:6C:39:45,11,2.462,38,-72
23-1,00:0C:42:67:93:E7,11,2.462,24,-86
20-1,00:0C:42:65:C6:AC,11,2.462,23,-87
1-0,00:0C:42:6C:40:76,1,2.412,33,-77
