ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
21-0,00:0C:42:6C:40:77,1,2.412,34,-76
22-1,00:0C:42:6C:36:B1,11,2.462,70,-9
20-1,00:0C:42:65:C6:AC,1,2.412,27,-83
21-0,00:0C:42:6C:40:77,1,2.412,39,-71
3-0,00:0C:42:6C:3D:C2,1,2.412,38,-72
3-0,00:0C:42:6C:3D:C2,1,2.412,47,-63
20-1,00:0C:42:65:C6:AC,1,2.412,29,-81
20-1,00:0C:42:65:C6:AC,1,2.412,23,-87
3-0,00:0C:42:6C:3D:C2,1,2.412,37,-73
3-0,00:0C:42:6C:3D:C2,1,2.412,34,-76
3-0,00:0C:42:6C:3D:C2,1,2.412,37,-73
21-0,00:0C:42:6C:40:77,1,2.412,35,-75
20-1,00:0C:42:65:C6:AC,1,2.412,30,-80
21-0,00:0C:42:6C:40:77,1,2.412,35,-75
3-0,00:0C:42:6C:3D:C2,1,2.412,40,-70
3-1,00:0C:42:6C:3D:2D,11,2.462,36,-74
20-1,00:0C:42:65:C6:AC,11,2.462,22,-88
21-1,00:0C:42:67:89:9D,11,2.462,22,-88
