ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
13-0,00:0C:42:6C:3D:C3,1,2.412,24,-86
20-0,00:0C:42:6C:3D:5E,1,2.412,26,-84
31-0,00:0C:42:6C:37:AB,1,2.412,22,-88
29-0,00:0C:42:6C:40:84,1,2.412,21,-89
30-0,00:0C:42:6C:3D:25,1,2.412,22,-88
32-0,00:0C:42:6C:39:3D,1,2.412,20,-90
6-0,00:0C:42:6C:40:7B,1,2.412,19,-91
252-0,00:0C:42:6C:3A:3D,1,2.412,25,-85
2-0,00:0C:42:67:89:2C,1,2.412,30,-80
12-1,00:0C:42:67:89:B5,11,2.462,57,-53
21-1,00:0C:42:67:89:9D,11,2.462,31,-79
2-1,00:0C:42:67:89:99,11,2.462,21,-89
