ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
1-0,00:0C:42:6C:40:76,1,2.412,33,-77
29-0,00:0C:42:6C:40:84,1,2.412,27,-83
6-0,00:0C:42:6C:40:7B,1,2.412,27,-83
12-0,00:0C:42:6B:96:D5,1,2.412,23,-87
24-0,00:0C:42:6C:3D:2B,1,2.412,27,-83
16-0,00:0C:42:6C:39:3C,1,2.412,28,-82
17-0,00:0C:42:6C:3D:2F,1,2.412,26,-84
8-0,00:0C:42:6C:40:83,1,2.412,24,-86
30-0,00:0C:42:6C:3D:25,1,2.412,25,-85
2-0,00:0C:42:67:89:2C,1,2.412,31,-79
20-0,00:0C:42:6C:3D:5E,1,2.412,28,-82
2-1,00:0C:42:67:89:99,11,2.462,65,-45
4-1,00:0C:42:6C:3D:36,11,2.462,30,-80
6-1,00:0C:42:6C:3D:3E,11,2.462,27,-83
252-1,00:0C:42:65:C6:73,11,2.462,38,-72
16-1,00:0C:42:6C:37:8B,11,2.462,27,-83
31-1,00:0C:42:6C:37:C4,11,2.462,24,-86
