ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
38-0,00:0C:42:67:89:A8,1,2.412,42,-68
33-1,00:0C:42:67:89:1E,11,2.462,47,-63
38-1,00:0C:42:65:C6:AE,11,2.462,20,-90
33-1,00:0C:42:67:89:1E,11,2.462,45,-65
