ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
9-0,00:0C:42:6C:3D:37,1,2.412,38,-72
15-0,00:0C:42:6C:39:2C,1,2.412,32,-78
25-0,00:0C:42:6C:35:7B,1,2.412,33,-77
253-0,00:0C:42:6C:40:76,1,2.412,24,-86
16-0,00:0C:42:6C:39:3C,1,2.412,37,-73
28-0,00:0C:42:6C:3D:49,1,2.412,38,-72
6-0,00:0C:42:6C:40:7B,1,2.412,33,-77
17-0,00:0C:42:6C:3D:2F,1,2.412,24,-86
252-0,00:0C:42:6C:3A:3D,1,2.412,26,-84
19-0,00:0C:42:6C:39:37,1,2.412,26,-84
1-0,00:0C:42:6C:40:76,1,2.412,28,-82
8-1,00:0C:42:6C:3D:C9,11,2.462,39,-71
28-1,00:0C:42:67:89:CC,11,2.462,37,-73
6-1,00:0C:42:6C:3D:3E,11,2.462,34,-76
16-1,00:0C:42:6C:37:8B,11,2.462,24,-86
25-1,00:0C:42:6C:3A:59,11,2.462,22,-88
4-1,00:0C:42:6C:3D:36,11,2.462,29,-81
