ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
37-0,00:0C:42:65:C6:74,1,2.412,42,-68
36-1,00:0C:42:6C:39:3F,11,2.462,35,-75
35-1,00:0C:42:67:89:96,11,2.462,27,-83
