ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
24-0,00:0C:42:6C:3D:2B,1,2.412,26,-84
29-0,00:0C:42:6C:40:84,1,2.412,28,-82
19-0,00:0C:42:6C:39:37,1,2.412,28,-82
6-0,00:0C:42:6C:40:7B,1,2.412,26,-84
31-0,00:0C:42:6C:37:AB,1,2.412,25,-85
17-0,00:0C:42:6C:3D:2F,1,2.412,24,-86
30-0,00:0C:42:6C:3D:25,1,2.412,29,-81
32-0,00:0C:42:6C:39:3D,1,2.412,26,-84
1-0,00:0C:42:6C:40:76,1,2.412,22,-88
12-0,00:0C:42:6B:96:D5,1,2.412,26,-84
252-0,00:0C:42:6C:3A:3D,1,2.412,30,-80
11-0,00:0C:42:6B:97:C1,1,2.412,29,-81
2-0,00:0C:42:67:89:2C,1,2.412,28,-82
13-0,00:0C:42:6C:3D:C3,1,2.412,27,-83
20-0,00:0C:42:6C:3D:5E,1,2.412,28,-82
30-1,00:0C:42:65:C4:4F,11,2.462,36,-74
248-1,00:0C:42:65:C4:6C,11,2.462,27,-83
19-1,00:0C:42:6C:39:42,11,2.462,23,-87
1-1,00:0C:42:6C:3D:68,11,2.462,20,-90
29-1,00:0C:42:67:89:B6,11,2.462,24,-86
20-1,00:0C:42:65:C6:AC,11,2.462,22,-88
31-1,00:0C:42:6C:37:C4,11,2.462,27,-83
