ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
34-0,00:0C:42:6C:37:C6,1,2.412,41,-69
30-1,00:0C:42:65:C4:4F,11,2.462,21,-89
5-1,00:0C:42:6C:40:7C,11,2.462,23,-87
1-1,00:0C:42:6C:3D:68,11,2.462,24,-86
20-0,00:0C:42:6C:3D:5E,1,2.412,25,-85
21-0,00:0C:42:6C:40:77,1,2.412,34,-76
