ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
17-1,00:0C:42:65:C6:AB,11,2.462,35,-75
6-1,00:0C:42:6C:3D:3E,11,2.462,29,-81
19-1,00:0C:42:6C:39:42,11,2.462,23,-87
248-1,00:0C:42:65:C4:6C,11,2.462,21,-89
252-1,00:0C:42:65:C6:73,11,2.462,21,-89
30-1,00:0C:42:65:C4:4F,11,2.462,21,-89
24-1,00:0C:42:67:89:B9,11,2.462,22,-88
16-1,00:0C:42:6C:37:8B,11,2.462,23,-87
20-1,00:0C:42:65:C6:AC,11,2.462,18,-92
1-0,00:0C:42:6C:40:76,1,2.412,24,-86
29-0,00:0C:42:6C:40:84,1,2.412,57,-53
17-0,00:0C:42:6C:3D:2F,1,2.412,38,-72
30-0,00:0C:42:6C:3D:25,1,2.412,26,-84
