ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
1-1,00:0C:42:6C:3D:68,11,2.462,34,-76
32-1,00:0C:42:6C:39:45,11,2.462,26,-84
248-1,00:0C:42:65:C4:6C,11,2.462,47,-63
30-1,00:0C:42:65:C4:4F,11,2.462,22,-88
31-1,00:0C:42:6C:37:C4,11,2.462,25,-85
252-1,00:0C:42:65:C6:73,11,2.462,22,-88
2-1,00:0C:42:67:89:99,11,2.462,20,-90
11-1,00:0C:42:67:89:C9,11,2.462,33,-77
21-1,00:0C:42:67:89:9D,11,2.462,27,-83
13-0,00:0C:42:6C:3D:C3,1,2.412,25,-85
12-0,00:0C:42:6B:96:D5,1,2.412,34,-76
32-0,00:0C:42:6C:39:3D,1,2.412,38,-72
248-0,00:0C:42:6C:3D:39,6,2.437,26,-84
