ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
24-0,00:0C:42:6C:3D:2B,1,2.412,29,-81
20-0,00:0C:42:6C:3D:5E,1,2.412,25,-85
32-0,00:0C:42:6C:39:3D,1,2.412,23,-87
23-0,00:0C:42:6C:40:75,1,2.412,30,-80
1-0,00:0C:42:6C:40:76,1,2.412,23,-87
29-0,00:0C:42:6C:40:84,1,2.412,22,-88
252-0,00:0C:42:6C:3A:3D,1,2.412,22,-88
30-0,00:0C:42:6C:3D:25,1,2.412,23,-87
6-0,00:0C:42:6C:40:7B,1,2.412,24,-86
17-0,00:0C:42:6C:3D:2F,1,2.412,22,-88
31-0,00:0C:42:6C:37:AB,1,2.412,21,-89
3-0,00:0C:42:6C:3D:C2,1,2.412,39,-71
12-0,00:0C:42:6B:96:D5,1,2.412,25,-85
21-0,00:0C:42:6C:40:77,1,2.412,39,-71
23-1,00:0C:42:67:93:E7,11,2.462,38,-72
3-1,00:0C:42:6C:3D:2D,11,2.462,31,-79
30-1,00:0C:42:65:C4:4F,11,2.462,26,-84
13-1,00:0C:42:67:89:9A,11,2.462,37,-73
