ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
32-0,00:0C:42:6C:39:3D,1,2.412,29,-81
29-0,00:0C:42:6C:40:84,1,2.412,27,-83
31-0,00:0C:42:6C:37:AB,1,2.412,24,-86
11-0,00:0C:42:6B:97:C1,1,2.412,32,-78
12-0,00:0C:42:6B:96:D5,1,2.412,25,-85
252-0,00:0C:42:6C:3A:3D,1,2.412,25,-85
34-0,00:0C:42:6C:37:C6,1,2.412,35,-75
30-0,00:0C:42:6C:3D:25,1,2.412,26,-84
22-0,00:0C:42:6C:39:46,1,2.412,32,-78
3-0,00:0C:42:6C:3D:C2,1,2.412,27,-83
13-0,00:0C:42:6C:3D:C3,1,2.412,37,-73
20-0,00:0C:42:6C:3D:5E,1,2.412,27,-83
2-0,00:0C:42:67:89:2C,1,2.412,23,-87
23-0,00:0C:42:6C:40:75,1,2.412,27,-83
22-1,00:0C:42:6C:36:B1,11,2.462,30,-80
30-1,00:0C:42:65:C4:4F,11,2.462,27,-83
1-1,00:0C:42:6C:3D:68,11,2.462,26,-84
34-1,00:0C:42:6C:39:49,11,2.462,35,-75
23-1,00:0C:42:67:93:E7,11,2.462,30,-80
