ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
29-0,00:0C:42:6C:40:84,1,2.412,28,-82
19-0,00:0C:42:6C:39:37,1,2.412,29,-81
17-0,00:0C:42:6C:3D:2F,1,2.412,31,-79
28-0,00:0C:42:6C:3D:49,1,2.412,27,-83
21-0,00:0C:42:6C:40:77,1,2.412,26,-84
18-0,00:0C:42:6C:3D:41,1,2.412,31,-79
32-0,00:0C:42:6C:39:3D,1,2.412,25,-85
13-0,00:0C:42:6C:3D:C3,1,2.412,24,-86
6-0,00:0C:42:6C:40:7B,1,2.412,22,-88
2-0,00:0C:42:67:89:2C,1,2.412,23,-87
30-1,00:0C:42:65:C4:4F,11,2.462,70,-34
20-0,00:0C:42:6C:3D:5E,1,2.412,35,-75
19-1,00:0C:42:6C:39:42,11,2.462,32,-78
29-1,00:0C:42:67:89:B6,11,2.462,28,-82
23-0,00:0C:42:6C:40:75,1,2.412,25,-85
252-0,00:0C:42:6C:3A:3D,1,2.412,26,-84
11-0,00:0C:42:6B:97:C1,1,2.412,25,-85
