ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
21-0,00:0C:42:6C:40:77,1,2.412,35,-75
34-1,00:0C:42:6C:39:49,11,2.462,40,-70
11-0,00:0C:42:6B:97:C1,1,2.412,24,-86
5-0,00:0C:42:6C:3D:48,1,2.412,27,-83
1-0,00:0C:42:6C:40:76,1,2.412,32,-78
20-0,00:0C:42:6C:3D:5E,1,2.412,24,-86
248-1,00:0C:42:65:C4:6C,11,2.462,22,-88
1-1,00:0C:42:6C:3D:68,11,2.462,23,-87
5-1,00:0C:42:6C:40:7C,11,2.462,27,-83
