ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
16-0,00:0C:42:6C:39:3C,1,2.412,29,-81
24-0,00:0C:42:6C:3D:2B,1,2.412,25,-85
6-0,00:0C:42:6C:40:7B,1,2.412,29,-81
32-0,00:0C:42:6C:39:3D,1,2.412,23,-87
14-0,00:0C:42:6C:39:23,1,2.412,28,-82
30-0,00:0C:42:6C:3D:25,1,2.412,26,-84
17-0,00:0C:42:6C:3D:2F,1,2.412,33,-77
12-0,00:0C:42:6B:96:D5,1,2.412,23,-87
1-0,00:0C:42:6C:40:76,1,2.412,30,-80
252-0,00:0C:42:6C:3A:3D,1,2.412,28,-82
2-0,00:0C:42:67:89:2C,1,2.412,24,-86
13-0,00:0C:42:6C:3D:C3,1,2.412,23,-87
20-0,00:0C:42:6C:3D:5E,1,2.412,24,-86
21-0,00:0C:42:6C:40:77,1,2.412,26,-84
29-1,00:0C:42:67:89:B6,11,2.462,64,-46
17-1,00:0C:42:65:C6:AB,11,2.462,30,-80
30-1,00:0C:42:65:C4:4F,11,2.462,28,-82
24-1,00:0C:42:67:89:B9,11,2.462,22,-88
31-1,00:0C:42:6C:37:C4,11,2.462,21,-89
