ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
1-0,00:0C:42:6C:40:76,1,2.412,31,-79
9-0,00:0C:42:6C:3D:37,1,2.412,34,-76
6-0,00:0C:42:6C:40:7B,1,2.412,35,-75
20-0,00:0C:42:6C:3D:5E,1,2.412,26,-84
26-0,00:0C:42:6C:31:F9,1,2.412,30,-80
25-0,00:0C:42:6C:35:7B,1,2.412,36,-74
29-0,00:0C:42:6C:40:84,1,2.412,31,-79
8-0,00:0C:42:6C:40:83,1,2.412,36,-74
17-0,00:0C:42:6C:3D:2F,1,2.412,37,-73
15-0,00:0C:42:6C:39:2C,1,2.412,29,-81
16-1,00:0C:42:6C:37:8B,11,2.462,70,-34
252-0,00:0C:42:6C:3A:3D,1,2.412,32,-78
2-0,00:0C:42:67:89:2C,1,2.412,22,-88
25-1,00:0C:42:6C:3A:59,11,2.462,29,-81
29-1,00:0C:42:67:89:B6,11,2.462,26,-84
15-1,00:0C:42:6C:39:25,11,2.462,22,-88
6-1,00:0C:42:6C:3D:3E,11,2.462,34,-76
17-1,00:0C:42:65:C6:AB,11,2.462,39,-71
