ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,33,-77
17-0,00:0C:42:6C:3D:2F,1,2.412,26,-84
,00:15:6D:A9:EE:E9,1,2.412,24,-86
Guest Network,22:C9:D0:1A:79:E8,1,2.412,22,-88
28-0,00:0C:42:6C:3D:49,1,2.412,30,-80
Fishkinley,20:C9:D0:1A:79:E7,1,2.412,22,-88
27-0,00:0C:42:6C:37:D1,1,2.412,34,-76
spanishflat.valleyinternet.com,00:27:22:C2:C4:C9,3,2.422,31,-79
Mountain Research Labs,10:0D:7F:7C:F1:AC,6,2.437,26,-84
8-0,00:0C:42:6C:40:83,1,2.412,30,-80
berryessa19.valleyinternet.com,00:27:22:4E:4F:42,7,2.442,31,-79
TP-LINK_C4DCA0,00:23:CD:C4:DC:A0,6,2.437,19,-91
15-1,00:0C:42:6C:39:25,11,2.462,50,-60
qurinet,22:22:22:22:22:22,11,2.462,24,-86
17-1,00:0C:42:65:C6:AB,11,2.462,24,-86
27-1,00:0C:42:6C:39:3B,11,2.462,27,-83
28-1,00:0C:42:67:89:CC,11,2.462,21,-89
