ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,26,-84
29-0,00:0C:42:6C:40:84,1,2.412,21,-89
6-1,00:0C:42:6C:3D:3E,1,2.412,34,-76
,00:15:6D:A9:EE:E9,1,2.412,21,-89
qurinet,22:22:22:22:22:22,1,2.412,32,-78
14-1,00:0C:42:67:89:2D,11,2.462,34,-76
qurinet,22:22:22:22:22:22,11,2.462,21,-89
14-1,00:0C:42:67:89:2D,11,2.462,66,-44
252-1,00:0C:42:65:C6:73,11,2.462,21,-89
14-1,00:0C:42:67:89:2D,11,2.462,22,-88
qurinet,22:22:22:22:22:22,11,2.462,20,-90
6-0,00:0C:42:6C:40:7B,11,2.462,22,-88
