ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,25,-85
32-0,00:0C:42:6C:39:3D,1,2.412,25,-85
33-0,00:0C:42:6C:3D:EE,1,2.412,40,-70
qurinet,22:22:22:22:22:22,1,2.412,36,-74
qurinet,22:22:22:22:22:22,11,2.462,69,-41
33-1,00:0C:42:67:89:1E,11,2.462,44,-66
32-1,00:0C:42:6C:39:45,11,2.462,40,-70
33-1,00:0C:42:67:89:1E,11,2.462,69,-41
qurinet,22:22:22:22:22:22,11,2.462,20,-90
38-1,00:0C:42:65:C6:AE,11,2.462,56,-54
33-1,00:0C:42:67:89:1E,11,2.462,67,-43
1-1,00:0C:42:6C:3D:68,11,2.462,19,-91
qurinet,22:22:22:22:22:22,11,2.462,39,-71
38-1,00:0C:42:65:C6:AE,11,2.462,56,-54
