ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
248-0,00:0C:42:6C:3D:39,1,2.412,49,-61
13-0,00:0C:42:6C:3D:C3,1,2.412,23,-87
qurinet,22:22:22:22:22:22,1,2.412,23,-87
17-0,00:0C:42:6C:3D:2F,1,2.412,22,-88
29-0,00:0C:42:6C:40:84,1,2.412,29,-81
8-0,00:0C:42:6C:40:83,1,2.412,30,-80
32-0,00:0C:42:6C:39:3D,1,2.412,35,-75
6-1,00:0C:42:6C:3D:3E,1,2.412,23,-87
248-1,00:0C:42:65:C4:6C,6,2.437,53,-57
qurinet,22:22:22:22:22:22,6,2.437,27,-83
248-1,00:0C:42:65:C4:6C,6,2.437,54,-56
qurinet,22:22:22:22:22:22,11,2.462,49,-61
1-1,00:0C:42:6C:3D:68,11,2.462,48,-62
qurinet,22:22:22:22:22:22,11,2.462,51,-59
29-1,00:0C:42:67:89:B6,11,2.462,21,-89
