ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,11,2.462,70,0
29-1,00:0C:42:67:89:B6,11,2.462,23,-87
6-0,00:0C:42:6C:40:7B,11,2.462,23,-87
1-1,00:0C:42:6C:3D:68,11,2.462,26,-84
qurinet,22:22:22:22:22:22,11,2.462,25,-85
30-1,00:0C:42:65:C4:4F,11,2.462,25,-85
30-0,00:0C:42:6C:3D:25,1,2.412,30,-80
qurinet,22:22:22:22:22:22,1,2.412,40,-70
32-0,00:0C:42:6C:39:3D,1,2.412,28,-82
6-1,00:0C:42:6C:3D:3E,1,2.412,27,-83
248-1,00:0C:42:65:C4:6C,6,2.437,32,-78
qurinet,22:22:22:22:22:22,11,2.462,22,-88
1-1,00:0C:42:6C:3D:68,11,2.462,29,-81
