ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,31,-79
qurinet,22:22:22:22:22:22,1,2.412,36,-74
20-0,00:0C:42:6C:3D:5E,1,2.412,24,-86
13-0,00:0C:42:6C:3D:C3,1,2.412,23,-87
17-0,00:0C:42:6C:3D:2F,1,2.412,32,-78
29-0,00:0C:42:6C:40:84,1,2.412,23,-87
6-1,00:0C:42:6C:3D:3E,1,2.412,24,-86
38-0,00:0C:42:67:89:A8,1,2.412,28,-82
1-0,00:0C:42:6C:40:76,1,2.412,37,-73
32-1,00:0C:42:6C:39:45,11,2.462,41,-69
1-1,00:0C:42:6C:3D:68,11,2.462,37,-73
qurinet,22:22:22:22:22:22,11,2.462,38,-72
32-1,00:0C:42:6C:39:45,11,2.462,38,-72
qurinet,22:22:22:22:22:22,11,2.462,23,-87
