ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
19-0,00:0C:42:6C:39:37,1,2.412,26,-84
30-0,00:0C:42:6C:3D:25,1,2.412,24,-86
qurinet,22:22:22:22:22:22,1,2.412,30,-80
20-0,00:0C:42:6C:3D:5E,1,2.412,27,-83
29-0,00:0C:42:6C:40:84,1,2.412,34,-76
28-0,00:0C:42:6C:3D:49,1,2.412,35,-75
32-0,00:0C:42:6C:39:3D,1,2.412,23,-87
13-0,00:0C:42:6C:3D:C3,1,2.412,27,-83
PVUSA,00:15:6D:67:93:FF,1,2.412,21,-89
,00:15:6D:A9:EE:E9,1,2.412,25,-85
8-0,00:0C:42:6C:40:83,1,2.412,25,-85
248-1,00:0C:42:65:C4:6C,6,2.437,29,-81
qurinet,22:22:22:22:22:22,11,2.462,28,-82
28-1,00:0C:42:67:89:CC,11,2.462,35,-75
29-1,00:0C:42:67:89:B6,11,2.462,35,-75
17-1,00:0C:42:65:C6:AB,11,2.462,65,-45
15-1,00:0C:42:6C:39:25,11,2.462,33,-77
19-1,00:0C:42:6C:39:42,11,2.462,30,-80
30-1,00:0C:42:65:C4:4F,11,2.462,26,-84
,00:12:43:B9:C5:10,11,2.462,19,-91
