ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
22-1,00:0C:42:6C:36:B1,11,2.462,45,-65
qurinet,22:22:22:22:22:22,11,2.462,22,-88
qurinet,22:22:22:22:22:22,1,2.412,37,-73
