ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,23,-87
20-0,00:0C:42:6C:3D:5E,1,2.412,24,-86
17-0,00:0C:42:6C:3D:2F,1,2.412,22,-88
30-0,00:0C:42:6C:3D:25,1,2.412,23,-87
29-0,00:0C:42:6C:40:84,1,2.412,23,-87
1-0,00:0C:42:6C:40:76,1,2.412,25,-85
6-1,00:0C:42:6C:3D:3E,1,2.412,30,-80
32-0,00:0C:42:6C:39:3D,1,2.412,22,-88
qurinet,22:22:22:22:22:22,11,2.462,31,-79
1-1,00:0C:42:6C:3D:68,11,2.462,30,-80
qurinet,22:22:22:22:22:22,11,2.462,31,-79
13-1,00:0C:42:67:89:9A,11,2.462,37,-73
qurinet,22:22:22:22:22:22,11,2.462,33,-77
30-1,00:0C:42:65:C4:4F,11,2.462,28,-82
qurinet,22:22:22:22:22:22,11,2.462,38,-72
1-1,00:0C:42:6C:3D:68,11,2.462,32,-78
qurinet,22:22:22:22:22:22,11,2.462,28,-82
