ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,11,2.462,23,-87
aRYp-ValleyInternet.com,00:27:19:C9:5A:98,11,2.462,21,-89
6-0,00:0C:42:6C:40:7B,11,2.462,23,-87
7-0,00:0C:42:6C:40:BC,11,2.462,25,-85
28-1,00:0C:42:67:89:CC,11,2.462,23,-87
252-1,00:0C:42:65:C6:73,11,2.462,24,-86
27-1,00:0C:42:6C:39:3B,11,2.462,20,-90
Mighty Mite,00:18:E7:F9:97:DE,11,2.462,20,-90
1-1,00:0C:42:6C:3D:68,11,2.462,23,-87
qurinet,22:22:22:22:22:22,1,2.412,32,-78
8-0,00:0C:42:6C:40:83,1,2.412,31,-79
32-0,00:0C:42:6C:39:3D,1,2.412,25,-85
1-0,00:0C:42:6C:40:76,1,2.412,31,-79
6-1,00:0C:42:6C:3D:3E,1,2.412,29,-81
qurinet,22:22:22:22:22:22,6,2.437,27,-83
