ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,11,2.462,24,-86
qurinet,22:22:22:22:22:22,6,2.437,64,-46
qurinet,22:22:22:22:22:22,1,2.412,37,-73
1-0,00:0C:42:6C:40:76,1,2.412,57,-53
21-0,00:0C:42:6C:40:77,1,2.412,31,-79
35-0,00:0C:42:6C:3D:3D,6,2.437,31,-79
1-1,00:0C:42:6C:3D:68,11,2.462,58,-52
29-1,00:0C:42:67:89:B6,11,2.462,21,-89
21-1,00:0C:42:67:89:9D,11,2.462,36,-74
qurinet,22:22:22:22:22:22,11,2.462,21,-89
13-1,00:0C:42:67:89:9A,11,2.462,22,-88
10-1,00:0C:42:67:89:9C,11,2.462,44,-66
32-0,00:0C:42:6C:39:3D,1,2.412,39,-71
17-0,00:0C:42:6C:3D:2F,1,2.412,31,-79
29-0,00:0C:42:6C:40:84,1,2.412,28,-82
qurinet,22:22:22:22:22:22,1,2.412,26,-84
2-0,00:0C:42:67:89:2C,1,2.412,30,-80
248-0,00:0C:42:6C:3D:39,6,2.437,67,-43
