ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
32-0,00:0C:42:6C:39:3D,1,2.412,27,-83
qurinet,22:22:22:22:22:22,1,2.412,29,-81
13-0,00:0C:42:6C:3D:C3,1,2.412,35,-75
21-0,00:0C:42:6C:40:77,1,2.412,24,-86
qurinet,22:22:22:22:22:22,11,2.462,32,-78
3-1,00:0C:42:6C:3D:2D,11,2.462,67,-43
22-1,00:0C:42:6C:36:B1,11,2.462,37,-73
22-0,00:0C:42:6C:39:46,1,2.412,33,-77
1-0,00:0C:42:6C:40:76,1,2.412,28,-82
31-0,00:0C:42:6C:37:AB,1,2.412,25,-85
redranger,02:CA:6D:6B:83:42,1,2.412,25,-85
1-1,00:0C:42:6C:3D:68,11,2.462,31,-79
