ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,6,2.437,49,-61
35-0,00:0C:42:6C:3D:3D,6,2.437,53,-57
2-0,00:0C:42:67:89:2C,1,2.412,25,-85
qurinet,22:22:22:22:22:22,1,2.412,69,-41
1-0,00:0C:42:6C:40:76,1,2.412,68,-42
32-0,00:0C:42:6C:39:3D,1,2.412,35,-75
10-1,00:0C:42:67:89:9C,11,2.462,27,-83
qurinet,22:22:22:22:22:22,11,2.462,29,-81
qurinet,22:22:22:22:22:22,6,2.437,52,-58
248-1,00:0C:42:65:C4:6C,11,2.462,69,-41
1-1,00:0C:42:6C:3D:68,11,2.462,62,-48
38-0,00:0C:42:67:89:A8,1,2.412,25,-85
35-1,00:0C:42:67:89:96,11,2.462,28,-82
31-1,00:0C:42:6C:37:C4,11,2.462,25,-85
