ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,11,2.462,36,-74
31-1,00:0C:42:6C:37:C4,11,2.462,25,-85
32-1,00:0C:42:6C:39:45,11,2.462,25,-85
1-1,00:0C:42:6C:3D:68,11,2.462,36,-74
PNC-NP-47559022,00:16:01:4A:09:33,11,2.462,21,-89
4wH-ValleyInternet.com,00:25:86:F2:14:C0,11,2.462,20,-90
248-1,00:0C:42:65:C4:6C,11,2.462,46,-64
30-1,00:0C:42:65:C4:4F,11,2.462,21,-89
252-1,00:0C:42:65:C6:73,11,2.462,23,-87
qurinet,22:22:22:22:22:22,1,2.412,39,-71
21-0,00:0C:42:6C:40:77,1,2.412,39,-71
21-1,00:0C:42:67:89:9D,11,2.462,24,-86
10-0,00:0C:42:6C:3D:42,1,2.412,32,-78
1-0,00:0C:42:6C:40:76,1,2.412,32,-78
31-0,00:0C:42:6C:37:AB,1,2.412,30,-80
32-0,00:0C:42:6C:39:3D,1,2.412,39,-71
