ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,11,2.462,70,0
qurinet,22:22:22:22:22:22,6,2.437,44,-66
32-0,00:0C:42:6C:39:3D,1,2.412,46,-64
35-0,00:0C:42:6C:3D:3D,6,2.437,48,-62
21-1,00:0C:42:67:89:9D,11,2.462,35,-75
1-0,00:0C:42:6C:40:76,1,2.412,56,-54
13-1,00:0C:42:67:89:9A,11,2.462,32,-78
qurinet,22:22:22:22:22:22,1,2.412,32,-78
2-1,00:0C:42:67:89:99,11,2.462,22,-88
3-1,00:0C:42:6C:3D:2D,11,2.462,24,-86
34-1,00:0C:42:6C:39:49,11,2.462,23,-87
32-1,00:0C:42:6C:39:45,11,2.462,25,-85
4-1,00:0C:42:6C:3D:36,11,2.462,22,-88
6-1,00:0C:42:6C:3D:3E,11,2.462,26,-84
248-1,00:0C:42:65:C4:6C,11,2.462,59,-51
35-1,00:0C:42:67:89:96,11,2.462,24,-86
10-1,00:0C:42:67:89:9C,11,2.462,33,-77
qurinet,22:22:22:22:22:22,11,2.462,24,-86
31-1,00:0C:42:6C:37:C4,11,2.462,23,-87
2-0,00:0C:42:67:89:2C,1,2.412,48,-62
21-0,00:0C:42:6C:40:77,1,2.412,30,-80
qurinet,22:22:22:22:22:22,1,2.412,56,-54
252-0,00:0C:42:6C:3A:3D,1,2.412,30,-80
34-0,00:0C:42:6C:37:C6,1,2.412,31,-79
248-0,00:0C:42:6C:3D:39,6,2.437,61,-49
34-1,00:0C:42:6C:39:49,11,2.462,23,-87
