ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,21,-89
13-1,00:0C:42:67:89:9A,11,2.462,36,-74
32-0,00:0C:42:6C:39:3D,1,2.412,22,-88
1-0,00:0C:42:6C:40:76,1,2.412,24,-86
31-0,00:0C:42:6C:37:AB,1,2.412,23,-87
6-0,00:0C:42:6C:40:7B,1,2.412,24,-86
10-0,00:0C:42:6C:3D:42,1,2.412,24,-86
21-0,00:0C:42:6C:40:77,1,2.412,34,-76
252-0,00:0C:42:6C:3A:3D,1,2.412,23,-87
3-0,00:0C:42:6C:3D:C2,1,2.412,36,-74
30-0,00:0C:42:6C:3D:25,1,2.412,23,-87
29-0,00:0C:42:6C:40:84,1,2.412,22,-88
qurinet,22:22:22:22:22:22,1,2.412,23,-87
1-1,00:0C:42:6C:3D:68,11,2.462,33,-77
30-1,00:0C:42:65:C4:4F,11,2.462,26,-84
qurinet,22:22:22:22:22:22,11,2.462,26,-84
3-1,00:0C:42:6C:3D:2D,11,2.462,32,-78
qurinet,22:22:22:22:22:22,11,2.462,32,-78
1-1,00:0C:42:6C:3D:68,11,2.462,32,-78
qurinet,22:22:22:22:22:22,11,2.462,22,-88
6-1,00:0C:42:6C:3D:3E,11,2.462,26,-84
