ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,33,-77
33-1,00:0C:42:67:89:1E,11,2.462,30,-80
10-0,00:0C:42:6C:3D:42,1,2.412,26,-84
3-0,00:0C:42:6C:3D:C2,1,2.412,23,-87
1-0,00:0C:42:6C:40:76,1,2.412,33,-77
38-0,00:0C:42:67:89:A8,1,2.412,24,-86
17-0,00:0C:42:6C:3D:2F,1,2.412,26,-84
qurinet,22:22:22:22:22:22,1,2.412,34,-76
29-0,00:0C:42:6C:40:84,1,2.412,23,-87
21-0,00:0C:42:6C:40:77,1,2.412,26,-84
2-0,00:0C:42:67:89:2C,1,2.412,27,-83
qurinet,22:22:22:22:22:22,6,2.437,33,-77
qurinet,22:22:22:22:22:22,11,2.462,36,-74
1-1,00:0C:42:6C:3D:68,11,2.462,39,-71
32-1,00:0C:42:6C:39:45,11,2.462,41,-69
