ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,22,-88
248-0,00:0C:42:6C:3D:39,6,2.437,64,-46
qurinet,22:22:22:22:22:22,6,2.437,28,-82
4-1,00:0C:42:6C:3D:36,11,2.462,30,-80
248-1,00:0C:42:65:C4:6C,11,2.462,59,-51
qurinet,22:22:22:22:22:22,11,2.462,29,-81
32-0,00:0C:42:6C:39:3D,1,2.412,38,-72
13-0,00:0C:42:6C:3D:C3,1,2.412,24,-86
2-0,00:0C:42:67:89:2C,1,2.412,55,-55
1-1,00:0C:42:6C:3D:68,11,2.462,53,-57
252-0,00:0C:42:6C:3A:3D,1,2.412,25,-85
6-0,00:0C:42:6C:40:7B,1,2.412,23,-87
29-0,00:0C:42:6C:40:84,1,2.412,32,-78
10-0,00:0C:42:6C:3D:42,1,2.412,22,-88
3-0,00:0C:42:6C:3D:C2,1,2.412,23,-87
qurinet,22:22:22:22:22:22,1,2.412,55,-55
34-0,00:0C:42:6C:37:C6,1,2.412,32,-78
35-0,00:0C:42:6C:3D:3D,6,2.437,25,-85
10-1,00:0C:42:67:89:9C,11,2.462,29,-81
31-1,00:0C:42:6C:37:C4,11,2.462,24,-86
34-1,00:0C:42:6C:39:49,11,2.462,26,-84
