ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,28,-82
29-0,00:0C:42:6C:40:84,1,2.412,36,-74
10-0,00:0C:42:6C:3D:42,1,2.412,26,-84
28-0,00:0C:42:6C:3D:49,1,2.412,30,-80
19-0,00:0C:42:6C:39:37,1,2.412,30,-80
32-0,00:0C:42:6C:39:3D,1,2.412,27,-83
30-0,00:0C:42:6C:3D:25,1,2.412,25,-85
252-0,00:0C:42:6C:3A:3D,1,2.412,28,-82
qurinet,22:22:22:22:22:22,11,2.462,31,-79
17-1,00:0C:42:65:C6:AB,11,2.462,69,-41
29-1,00:0C:42:67:89:B6,11,2.462,38,-72
28-1,00:0C:42:67:89:CC,11,2.462,35,-75
2-0,00:0C:42:67:89:2C,1,2.412,24,-86
1-0,00:0C:42:6C:40:76,1,2.412,22,-88
19-1,00:0C:42:6C:39:42,11,2.462,28,-82
31-0,00:0C:42:6C:37:AB,1,2.412,24,-86
