ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
31-1,00:0C:42:6C:37:C4,11,2.462,21,-89
qurinet,22:22:22:22:22:22,11,2.462,22,-88
2-1,00:0C:42:67:89:99,11,2.462,43,-67
10-1,00:0C:42:67:89:9C,11,2.462,21,-89
30-1,00:0C:42:65:C4:4F,11,2.462,22,-88
qurinet,22:22:22:22:22:22,1,2.412,40,-70
2-0,00:0C:42:67:89:2C,1,2.412,38,-72
4-1,00:0C:42:6C:3D:36,11,2.462,46,-64
6-1,00:0C:42:6C:3D:3E,11,2.462,24,-86
29-0,00:0C:42:6C:40:84,1,2.412,25,-85
252-0,00:0C:42:6C:3A:3D,1,2.412,38,-72
21-0,00:0C:42:6C:40:77,1,2.412,24,-86
