ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,1,2.412,29,-81
21-0,00:0C:42:6C:40:77,1,2.412,21,-89
29-0,00:0C:42:6C:40:84,1,2.412,26,-84
1-0,00:0C:42:6C:40:76,1,2.412,35,-75
5-0,00:0C:42:6C:3D:48,1,2.412,28,-82
17-0,00:0C:42:6C:3D:2F,1,2.412,25,-85
32-0,00:0C:42:6C:39:3D,1,2.412,21,-89
30-0,00:0C:42:6C:3D:25,1,2.412,23,-87
2-0,00:0C:42:67:89:2C,1,2.412,29,-81
qurinet,22:22:22:22:22:22,11,2.462,25,-85
2-1,00:0C:42:67:89:99,11,2.462,68,-42
10-0,00:0C:42:6C:3D:42,1,2.412,25,-85
6-0,00:0C:42:6C:40:7B,1,2.412,28,-82
6-1,00:0C:42:6C:3D:3E,11,2.462,28,-82
30-1,00:0C:42:65:C4:4F,11,2.462,25,-85
252-1,00:0C:42:65:C6:73,11,2.462,25,-85
1-1,00:0C:42:6C:3D:68,11,2.462,22,-88
31-1,00:0C:42:6C:37:C4,11,2.462,26,-84
