ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
qurinet,22:22:22:22:22:22,11,2.462,28,-82
28-1,00:0C:42:67:89:CC,11,2.462,29,-81
18-1,00:0C:42:65:C6:AD,11,2.462,44,-66
29-1,00:0C:42:67:89:B6,11,2.462,21,-89
17-1,00:0C:42:65:C6:AB,11,2.462,26,-84
30-1,00:0C:42:65:C4:4F,11,2.462,30,-80
qurinet,22:22:22:22:22:22,1,2.412,28,-82
19-0,00:0C:42:6C:39:37,1,2.412,36,-74
28-0,00:0C:42:6C:3D:49,1,2.412,30,-80
30-0,00:0C:42:6C:3D:25,1,2.412,29,-81
18-0,00:0C:42:6C:3D:41,1,2.412,37,-73
17-0,00:0C:42:6C:3D:2F,1,2.412,34,-76
